playerid,inst_id,inst_followers,inst_follows,inst_posts,inst_likes_12,inst_comments_12,inst_likes_per_week,inst_comments_per_week
201567,194908318,3124444,2680,956,475990,2667,195995.8823529412,1098.1764705882354
1629164,27429364,35404,119,12,35145,745,5467.0,115.88888888888889
200765,597563498,1359605,235,84,175417,2104,11584.141509433963,138.9433962264151
1629012,4250835472,760034,78,154,299193,2729,33779.854838709674,308.1129032258064
201937,183589470,660617,323,522,288581,7310,16975.352941176472,430.0
1630596,1243573955,168672,690,92,302298,3223,28214.480000000003,300.81333333333333
1630612,0,0,0,0,0,0,0.0,0.0
1630698,260238665,38338,728,202,22135,496,1302.0588235294117,29.176470588235293
1630205,33166979,35687,722,20,49832,938,2931.294117647059,55.1764705882353
1629685,29058992,27309,905,94,8595,165,607.7272727272727,11.666666666666668
1629636,31145434,365724,997,54,334183,4241,31190.413333333334,395.8266666666667
1626224,416635032,1585350,301,341,1423995,9289,93158.55140186916,607.6915887850467
202334,0,0,0,0,0,0,0.0,0.0
1628374,1551246631,279257,241,436,198237,1277,12172.447368421053,78.4122807017544
1628386,478394610,199099,343,122,168891,1804,10650.783783783783,113.76576576576576
1629731,614242264,23587,1603,43,3418,76,1259.2631578947369,28.0
1630171,301892555,167090,367,31,131631,1673,8082.605263157895,102.7280701754386
203903,11249386,1654885,890,277,729691,336,83735.03278688525,38.55737704918033
1629672,189054259,164737,997,440,48554,391,5571.77049180328,44.868852459016395
204060,27405902,236825,744,532,86504,104,6055.28,7.279999999999999
1630235,200344284,19752,1023,22,10476,283,718.9411764705883,19.42156862745098
1627863,1433286252,83794,3956,601,42302,557,2667.6936936936936,35.126126126126124
200752,7552274,734828,1570,567,87095,1348,9994.508196721312,154.68852459016395
201144,481422815,581780,564,601,79814,563,7255.818181818182,51.18181818181818
1630215,40454245,51990,1266,27,27859,333,1875.125,22.413461538461537
1628962,275268606,47384,402,67,11602,147,7383.090909090909,93.54545454545455
202355,1450091487,785396,1302,465,60713,678,5666.546666666667,63.28
1626220,53247931,127370,865,515,62114,705,6689.2,75.92307692307692
203497,43983578,702729,555,875,276807,2326,43058.86666666666,361.8222222222222
1630190,12887261300,23928,904,60,20382,465,1534.1290322580644,35.0
202711,297672504,119581,202,313,80610,554,4822.820512820513,33.14529914529914
1628378,194922499,3385546,1360,872,720641,4115,136337.48648648648,778.5135135135135
1628425,40846946894,10901,481,16,6846,233,630.5526315789473,21.460526315789473
203504,41940584,352177,634,36,13646,311,830.6260869565218,18.930434782608696
204001,178146107,1580296,449,457,692398,5799,41782.63793103448,349.9396551724138
203939,26661018,88199,1772,215,26154,462,1538.4705882352941,27.176470588235293
1630182,807675486,158859,496,100,22389,182,2656.322033898305,21.593220338983052
1629650,254282731,78765,998,176,24999,629,1923.0,48.38461538461539
1627827,379462437,71406,926,37,18285,776,1361.6489361702127,57.78723404255319
203501,211849705,490734,789,586,69175,741,4525.467289719626,48.47663551401869
1628973,807285742,132170,778,282,75388,666,4841.431192660551,42.77064220183486
1628373,254171603,248199,961,80,120591,925,7153.703389830508,54.8728813559322
1629033,175491170,136615,874,802,61354,708,4382.428571428572,50.57142857142857
203493,23479375,178771,129,28,22350,66,3476.6666666666665,10.266666666666666
1627737,269788456,135602,802,127,14344,195,2713.7297297297296,36.891891891891895
1628467,2144010845,103324,497,117,21970,329,1410.9174311926606,21.128440366972477
